Time,PPG,ECG,resp
0,1.36070381231672,0.455078125,1.75015271838729
0.008,1.39491691104594,0.40478515625,1.75015271838729
0.016,1.44477028347996,0.33984375,1.75015271838729
0.024,1.50830889540567,0.30029296875,1.75015271838729
0.032,1.58162267839687,0.28515625,1.62492364080635
0.04,1.66080156402737,0.3251953125,1.50030543677459
0.048,1.74389051808407,0.3701171875,1.38179596823458
0.056,1.82600195503421,0.669921875,1.26328649969456
0.064,1.90420332355816,0.97509765625,1.16554673182651
0.072,1.97947214076246,1.06005859375,1.06780696395846
0.08,2.05180840664712,0.294921875,1.01771533292608
0.088,2.12316715542522,-0.49951171875,0.968234575442883
0.096,2.18279569892473,-0.49951171875,0.962736713500305
0.104,2.23460410557185,-0.49951171875,0.957849725106903
0.112,2.29130009775171,-0.45458984375,1.00305436774588
0.12,2.34897360703812,-0.40478515625,1.04825901038485
0.128,2.40566959921799,-0.45458984375,1.13255956017104
0.136,2.4594330400782,-0.4296875,1.21686010995724
0.144,2.50928641251222,-0.36474609375,1.31765424557117
0.152,2.55327468230694,-0.33984375,1.41905925473427
0.16,2.59335288367546,-0.3798828125,1.52657299938913
0.168,2.67448680351906,-0.44482421875,1.63469761759316
0.176,2.772238514174,-0.44970703125,1.69211973121564
0.184,2.82795698924731,-0.47998046875,1.75015271838729
0.192,2.85434995112414,-0.49951171875,1.75015271838729
0.2,2.86021505376344,-0.49951171875,1.75015271838729
0.208,2.85532746823069,-0.49951171875,1.75015271838729
0.216,2.841642228739,-0.49951171875,1.75015271838729
0.224,2.81720430107527,-0.49951171875,1.75015271838729
0.232,2.78299120234604,-0.49951171875,1.75015271838729
0.24,2.74389051808407,-0.49951171875,1.75015271838729
0.248,2.70478983382209,-0.49951171875,1.75015271838729
0.256,2.66764418377322,-0.49951171875,1.75015271838729
0.264,2.63245356793744,-0.49951171875,1.75015271838729
0.272,2.59824046920821,-0.49951171875,1.75015271838729
0.28,2.56402737047898,-0.49951171875,1.75015271838729
0.288,2.53176930596285,-0.49951171875,1.75015271838729
0.296,2.50146627565982,-0.49951171875,1.75015271838729
0.304,2.47116324535679,-0.49951171875,1.75015271838729
0.312,2.43890518084066,-0.47998046875,1.75015271838729
0.32,2.40469208211144,-0.35498046875,1.75015271838729
0.328,2.37145650048876,-0.31982421875,1.75015271838729
0.336,2.33822091886608,-0.224609375,1.75015271838729
0.344,2.3069403714565,-0.14501953125,1.75015271838729
0.352,2.27761485826002,-0.0400390625,1.75015271838729
0.36,2.25122189638319,0.05517578125,1.75015271838729
0.368,2.22482893450635,0.09521484375,1.75015271838729
0.376,2.19843597262952,0.18505859375,1.75015271838729
